observed_at,source_id,report_id,market,product_raw,origin_raw,variety_raw,quality,availability,wholesale_price,wholesale_unit,retail_price,retail_unit
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Papaya,Santa Cruz,,,A,4.41,kg,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Piña,Norte Integrado,,Primera,N,9.33,unidad,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Mandarina,Cochabamba,,Primera,A,24.20,ciento,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Naranja,Santa Cruz,Valencia,Primera,A,31.05,ciento,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Fresa,Comarapa,,,A,11.62,kg,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Guineo,Norte Integrado,,,A,26.52,chipa,,
2020-07-13,demo-mayorista,demo-may-2020-07-13,Mercado Abasto,Tomate,Cochabamba,,Primera,A,4.21,kg,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Papaya,Norte Integrado,,,N,4.59,kg,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Piña,Santa Cruz,,Segunda,N,8.42,unidad,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Mandarina,,,Primera,N,27.53,ciento,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Naranja,Santa Cruz,Criolla,,A,35.44,ciento,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Frutilla,Valles Cruceños,,Primera,A,10.55,kg,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Guineo,,,,A,26.59,chipa,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Tomate,Santa Cruz,,,A,4.70,kg,,
2020-07-27,demo-mayorista,demo-may-2020-07-27,Mercado Abasto,Yuca,,,Primera,A,43.51,bolsa,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Papaya,Santa Cruz,,Primera,N,5.03,kg,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Piña,,,Segunda,N,9.43,unidad,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Mandarina,,,Segunda,N,32.59,ciento,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Durazno,Argentina,,Primera,E,11.25,kg,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Frutilla,Comarapa,,Primera,A,9.25,kg,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Banano,Norte Integrado,,Segunda,A,29.85,chipa,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Tomate,Cochabamba,,Primera,A,4.35,kg,,
2020-08-10,demo-mayorista,demo-may-2020-08-10,Mercado Abasto,Yuca,Norte Integrado,,,N,46.85,bolsa,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Piña,,,,N,9.16,unidad,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Mandarina,Valles Cruceños,Criolla,Segunda,E,35.25,ciento,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Naranja,,Valencia,Segunda,A,39.76,ciento,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Frutilla,Comarapa,,Segunda,A,9.22,kg,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Guineo,Santa Cruz,,Segunda,A,31.05,chipa,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Tomate,,,,A,4.72,kg,,
2020-08-24,demo-mayorista,demo-may-2020-08-24,Mercado Abasto,Yuca,,,Primera,N,54.01,bolsa,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Papaya,Norte Integrado,,Primera,N,5.30,kg,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Piña,Santa Cruz,,Primera,N,7.66,unidad,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Naranja,Norte Integrado,Criolla,,N,41.95,ciento,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Frutilla,Valles Cruceños,,Segunda,A,9.99,kg,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Guineo,Santa Cruz,,Primera,A,31.17,chipa,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Tomate,,,Segunda,A,5.37,kg,,
2020-09-07,demo-mayorista,demo-may-2020-09-07,Mercado Abasto,Yuca,Norte Integrado,,Primera,N,58.48,bolsa,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Papaya,,,Primera,N,4.80,kg,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Piña,Santa Cruz,,Primera,N,7.76,unidad,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Frutilla,,,,A,11.25,kg,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Guineo,Norte Integrado,,Primera,N,32.55,chipa,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Tomate,,,Primera,A,5.78,kg,,
2020-09-21,demo-mayorista,demo-may-2020-09-21,Mercado Abasto,Yuca,Santa Cruz,,Segunda,N,61.24,bolsa,,
2020-10-05,demo-mayorista,demo-may-2020-10-05,Mercado Abasto,Piña,,,Primera,A,7.18,unidad,,
2020-10-05,demo-mayorista,demo-may-2020-10-05,Mercado Abasto,Guineo,Norte Integrado,,Primera,A,33.41,chipa,,
2020-10-05,demo-mayorista,demo-may-2020-10-05,Mercado Abasto,Tomate,Valles Cruceños,,Primera,N,5.43,kg,,
2020-10-05,demo-mayorista,demo-may-2020-10-05,Mercado Abasto,Yuca,Norte Integrado,,Primera,N,61.18,bolsa,,
